customer_id,order_year,region,sub-category,sales,profit,discount,quantity,is_high_season,is_q1,Art_West,Acc_East,risk_subcat_region,risk_category,risk_product,seasonal_risk,ship_profit_avg,shipping_delay,n_orders,n_products,high_discount,medium_discount,zero_discount,discount_sq,segment_enc,ship_mode_enc,unit_sales,p_margin,discount_efficiency,high_loss_risk,log_sales,high_disc_pct,zero_disc_pct,product_diversity,cust_total_profit,cust_total_sales,cust_n_orders,cust_n_rows,cust_avg_discount,cust_loss_rate,cust_avg_profit,cust_last_year,cust_first_year,cust_high_disc_rate,cust_recency,cust_tenure,cust_avg_margin,cust_has_history,p_last,profit_last,sales_last,margin_trend,sample_weight,segment_client,target,final_pred_profit,meta_pred_profit,blend_pred
AA-10315,2017,Central,Appliances,362.94,90.735,0.0,3,0,0,0,0,-31.772869999999998,21.601486245353158,39.734,25.967072222222225,28.111666967340593,5.0,1,1,0,0,1,0.0,0,0.0,120.97959673467754,0.24999999311180932,9073.5,0,5.896989018885097,0.0,0.9999900000999989,0.9999900000999989,-459.3875,5189.08,4.0,9.0,0.1111111111111111,0.1111111111111111,-51.043055555555554,2016.0,2014.0,0.0,1.0,3.0,-0.08852966212020308,1.0,0.0,0.0,0.0,0.24999999311180932,5.896989018885097,2,0.0342039316548634,94.36518971925078,94.79879776331852,94.58199374128465
AA-10315,2017,Central,Binders,11.54,5.77,0.0,2,0,0,0,0,26.86290752688172,21.601486245353158,6.1538571428571425,55.34558852459016,28.111666967340593,5.0,1,1,0,0,1,0.0,0,0.0,5.769971150144249,0.4999995667248122,577.0,0,2.5289235352047745,0.0,0.9999900000999989,0.9999900000999989,-459.3875,5189.08,4.0,9.0,0.1111111111111111,0.1111111111111111,-51.043055555555554,2016.0,2014.0,0.0,1.0,3.0,-0.08852966212020308,1.0,0.24999999311180932,90.735,362.94,0.2499995736130029,2.5289235352047745,2,1.6058072390722782,5.530459984943468,5.582917796199722,5.5566888905715945
AA-10375,2017,East,Binders,14.952,5.0463,0.2,1,1,0,0,0,27.07466575875486,21.601486245353158,8.69085,75.38818526315791,28.111666967340593,4.0,1,1,0,1,0,0.04000000000000001,0,0.0,14.951850481495184,0.33749977427783956,24.029999999999994,0,2.7695842132194826,0.0,0.0,0.9999900000999989,208.4629,849.658,7.0,10.0,0.1,0.0,20.84629,2016.0,2014.0,0.0,1.0,3.0,0.24534918466784064,1.0,0.0,0.0,0.0,0.33749977427783956,2.7695842132194826,2,0.49720009489480904,5.1154094809516275,5.1687231732894805,5.1420663271205544
AA-10375,2017,East,Paper,74.8,34.6282,0.0,10,3,0,0,0,23.109079381443298,21.601486245353158,12.915033333333334,22.018056337285902,30.47603584166951,2.6666666666666665,2,3,0,0,3,0.0,0,1.3333333333333333,7.47999252000748,0.46294378837649885,3462.8199999999997,0,4.328098292648326,0.0,1.4999925000374998,1.4999925000374998,208.4629,849.658,7.0,10.0,0.1,0.0,20.84629,2016.0,2014.0,0.0,1.0,3.0,0.24534918466784064,1.0,0.33749977427783956,5.0463,14.952,0.1254440140986593,4.328098292648326,2,1.3219341141769916,34.918373325160445,34.57245156154633,34.74541244335339
AA-10375,2017,East,Phones,116.98,29.245,0.0,2,1,0,0,0,55.337265734265735,78.02352919254659,8.7735,50.79934117647059,28.111666967340593,4.0,1,1,0,0,1,0.0,0,0.0,58.489707551462246,0.24999997862882725,2924.5,0,4.770515118574929,0.0,0.9999900000999989,0.9999900000999989,208.4629,849.658,7.0,10.0,0.1,0.0,20.84629,2016.0,2014.0,0.0,1.0,3.0,0.24534918466784064,1.0,0.46294378837649885,34.6282,74.8,-0.2129438097476716,4.770515118574929,2,0.034203861968529696,28.8126523785278,30.099495619735357,29.45607399913158
AA-10480,2017,South,Paper,15.552,5.4432,0.2,3,0,0,0,0,24.954682926829268,21.601486245353158,5.832,19.052386363636362,28.111666967340593,5.0,1,1,0,1,0,0.04000000000000001,0,0.0,5.1839827200576,0.3499997749487044,25.919999999999998,0,2.8065069404432417,0.0,0.0,0.9999900000999989,430.3842,1774.96,3.0,11.0,0.0,0.0,39.12583636363637,2016.0,2014.0,0.0,1.0,3.0,0.24247543470007532,1.0,0.0,0.0,0.0,0.3499997749487044,2.8065069404432417,2,0.5705101122452959,5.459298301941215,5.433508179286167,5.446403240613691
AA-10645,2017,West,Paper,12.96,6.2208,0.0,2,1,0,0,0,25.8113987654321,21.601486245353158,13.9968,31.601803669724774,28.111666967340593,4.0,1,1,0,0,1,0.0,0,0.0,6.4799676001619995,0.4799996296299154,622.0799999999999,0,2.6361960973342264,0.0,0.9999900000999989,0.9999900000999989,851.5825,5073.975,5.0,17.0,0.06764705882352941,0.11764705882352941,50.09308823529412,2016.0,2014.0,0.17647058823529413,1.0,3.0,0.1678334044455611,1.0,0.0,0.0,0.0,0.4799996296299154,2.6361960973342264,2,1.4501817364977174,6.141736797950058,6.197413300955764,6.169575049452911
AB-10060,2017,Central,Paper,240.14999999999998,115.5072,0.0,14,3,0,0,0,22.149006214689265,21.601486245353158,24.2492,31.601803669724774,31.65822027883397,2.0,1,3,0,0,3,0.0,2,2.0,17.15355917602916,0.48097936785428413,11550.72,0,5.485419146514981,0.0,2.9999700002999967,2.9999700002999967,1576.7593,4819.356,4.0,10.0,0.04,0.0,157.67593,2016.0,2015.0,0.0,1.0,2.0,0.32717219826223215,1.0,0.0,0.0,0.0,0.48097936785428413,5.485419146514981,2,1.4576726776389446,113.10652120236891,115.69874142969344,114.40263131603118
AB-10060,2017,East,Paper,20.736,7.2576,0.2,4,1,0,0,0,23.109079381443298,21.601486245353158,1.8144,21.470935869565217,28.111666967340593,5.0,1,1,0,1,0,0.04000000000000001,2,0.0,5.183987040032401,0.34999983121150113,34.559999999999995,0,3.0789698721240466,0.0,0.0,0.9999900000999989,1576.7593,4819.356,4.0,10.0,0.04,0.0,157.67593,2016.0,2015.0,0.0,1.0,2.0,0.32717219826223215,1.0,0.48097936785428413,115.5072,240.14999999999998,-0.130979536642783,3.0789698721240466,2,0.5705104464268622,7.3416931610546605,7.378792461413677,7.360242811234169
AB-10060,2017,West,Accessories,188.95,61.4844,0.0,4,1,0,0,0,59.686105600000005,78.02352919254659,41.1452,46.44461841579211,28.111666967340593,6.0,2,2,0,0,2,0.0,2,0.0,47.23738190654524,0.32540035324687205,6148.44,0,5.2467608796336345,0.0,0.9999950000249999,0.9999950000249999,1576.7593,4819.356,4.0,10.0,0.04,0.0,157.67593,2016.0,2015.0,0.0,1.0,2.0,0.32717219826223215,1.0,0.34999983121150113,7.2576,20.736,-0.02459947796462908,5.2467608796336345,2,0.428002921437093,57.682016364337166,60.29010576526207,58.986061064799614
AB-10060,2017,West,Chairs,449.568,-73.0548,0.2,2,1,0,1,0,26.886023636363635,9.263670572916666,-220.5693,34.89678,28.111666967340593,7.0,1,1,0,1,0,0.04000000000000001,2,0.0,224.78287608561956,-0.16249999638541898,-347.88,0,6.110509009053811,0.0,0.0,0.9999900000999989,1576.7593,4819.356,4.0,10.0,0.04,0.0,157.67593,2016.0,2015.0,0.0,1.0,2.0,0.32717219826223215,1.0,0.32540035324687205,61.4844,188.95,-0.487900349632291,6.110509009053811,2,-1.2223473548396009,-62.93900356881194,-67.4310666746258,-65.18503512171887
AB-10060,2017,West,Tables,2036.86,366.6348,0.0,7,1,0,1,0,1.440145,9.263670572916666,-142.5802,-10.197933333333332,28.111666967340593,7.0,1,1,0,0,1,0.0,2,0.0,290.97958431487956,0.17999999911628684,36663.479999999996,0,7.619655516624252,0.0,0.9999900000999989,0.9999900000999989,1576.7593,4819.356,4.0,10.0,0.04,0.0,157.67593,2016.0,2015.0,0.0,1.0,2.0,0.32717219826223215,1.0,-0.16249999638541898,-73.0548,449.568,0.34249999550170585,7.619655516624252,0,-0.2776268242334134,371.62656462350054,351.32157199534623,361.4740683094234
